Alpha,Final_Value,Turn_Left,Trial_earnings
1.4,8,9,4.37
1.4,9,2,9.69
1.4,11,8,4.58
1.4,12,6,7.19
1.4,13,4,8.68
1.4,14,6,6.73
1.4,15,7,4.87
1.7,9,1,9.97
1.7,14,9,1.79
1.7,15,6,8.27
2,5,7,9.38
2,9,1,9.99
2,12,1,9.99
2,13,9,3.51
2.3,12,9,4.78
2.6,14,9,4.62
1.4,5,10,5
1.4,6,10,6
1.4,7,10,7
1.4,10,10,10
1.7,5,10,5
1.7,6,10,6
1.7,7,10,7
1.7,8,10,8
1.7,10,10,10
1.7,11,10,11
1.7,12,10,12
1.7,13,10,13
2,6,10,6
2,7,10,7
2,8,10,8
2,10,10,10
2,11,10,11
2,14,10,14
2,15,10,15
2.3,5,10,5
2.3,6,10,6
2.3,7,10,7
2.3,8,10,8
2.3,9,10,9
2.3,10,10,10
2.3,11,10,11
2.3,13,10,13
2.3,14,10,14
2.3,15,10,15
2.6,5,10,5
2.6,6,10,6
2.6,7,10,7
2.6,8,10,8
2.6,9,10,9
2.6,10,10,10
2.6,11,10,11
2.6,12,10,12
2.6,13,10,13
2.6,15,10,15
