Alpha,Final_Value,Turn_Left,Trial_earnings
1.4,5,6,8.84
1.4,6,5,9.06
1.4,7,6,8.6
1.4,8,6,8.13
1.4,9,8,5.57
1.4,10,6,7.66
1.4,11,5,8.28
1.4,12,6,7.19
1.4,13,5,7.96
1.4,14,4,8.58
1.4,15,5,7.65
1.7,5,9,7.07
1.7,6,7,8.8
1.7,7,8,7.6
1.7,8,7,8.4
1.7,9,8,6.92
1.7,10,8,6.57
1.7,11,8,6.23
1.7,12,7,7.61
1.7,14,6,8.39
1.7,15,6,8.27
2,6,8,8.5
2,8,8,8.01
2,9,8,7.76
2,10,8,7.51
2,11,8,7.26
2,12,8,7.01
2,13,8,6.76
2,14,8,6.51
2,15,7,8.14
2.3,6,9,7.39
2.3,8,8,8.49
2.3,9,9,6.09
2.3,13,8,7.55
2.3,14,8,7.36
2.3,15,8,7.17
2.6,6,9,7.69
2.6,10,9,6.15
2.6,11,8,8.37
2.6,12,9,5.39
2.6,13,9,5
2.6,15,9,4.23
1.7,13,10,13
2,5,10,5
2,7,10,7
2.3,5,10,5
2.3,7,10,7
2.3,10,10,10
2.3,11,10,11
2.3,12,10,12
2.6,5,10,5
2.6,7,10,7
2.6,8,10,8
2.6,9,10,9
2.6,14,10,14
