Alpha,Final_Value,Turn_Left,Trial_earnings
1.4,5,1,9.93
1.4,6,1,9.91
1.4,7,2,9.76
1.4,8,1,9.89
1.4,9,3,9.44
1.4,10,1,9.86
1.4,11,10,11
1.4,12,1,9.83
1.4,13,1,9.81
1.4,14,1,9.8
1.4,15,2,9.48
1.7,6,3,9.88
1.7,7,3,9.86
1.7,8,5,9.47
1.7,10,5,9.34
1.7,11,1,9.96
1.7,12,3,9.77
1.7,13,1,9.95
1.7,14,2,9.87
1.7,15,1,9.95
2,7,2,9.98
2,8,6,9.51
2,9,4,9.87
2,10,9,5
2,12,6,9.26
2,13,2,9.96
2,14,5,9.58
2,15,6,9.08
2.3,6,8,8.87
2.3,7,4,9.95
2.3,11,7,9.1
2.3,12,7,9.02
2.3,13,6,9.54
2.6,11,8,8.37
2.6,14,6,9.69
1.7,5,10,5
1.7,9,10,9
2,5,10,5
2,6,10,6
2,11,10,11
2.3,5,10,5
2.3,8,10,8
2.3,9,10,9
2.3,10,10,10
2.3,14,10,14
2.3,15,10,15
2.6,5,10,5
2.6,6,10,6
2.6,7,10,7
2.6,8,10,8
2.6,9,10,9
2.6,10,10,10
2.6,12,10,12
2.6,13,10,13
2.6,15,10,15
