Alpha,Final_Value,Turn_Left,Trial_earnings
1.4,5,5,9.22
1.4,6,4,9.39
1.4,7,4,9.29
1.4,9,1,9.87
1.4,10,1,9.86
1.4,11,6,7.43
1.4,12,6,7.19
1.4,13,1,9.81
1.4,14,1,9.8
1.4,15,1,9.79
1.7,5,7,9
1.7,6,6,9.31
1.7,7,3,9.86
1.7,10,4,9.63
1.7,11,5,9.28
1.7,12,7,7.61
1.7,13,5,9.14
1.7,14,6,8.39
1.7,15,7,7.01
2,9,8,7.76
2,10,5,9.7
2,11,5,9.67
2,12,7,8.51
2,14,7,8.26
2.3,8,8,8.49
2.3,9,7,9.26
2.3,11,9,5.22
2.3,12,6,9.57
2.3,14,7,8.85
2.3,15,9,3.48
2.6,10,8,8.52
2.6,13,8,8.08
1.4,8,10,8
1.7,8,10,8
1.7,9,10,9
2,5,10,5
2,6,10,6
2,7,10,7
2,8,10,8
2,13,10,13
2,15,10,15
2.3,5,10,5
2.3,6,10,6
2.3,7,10,7
2.3,10,10,10
2.3,13,10,13
2.6,5,10,5
2.6,6,10,6
2.6,7,10,7
2.6,8,10,8
2.6,9,10,9
2.6,11,10,11
2.6,12,10,12
2.6,14,10,14
2.6,15,10,15
