Alpha,Final_Value,Turn_Left,Trial_earnings
1.4,8,1,9.89
1.4,11,10,11
1.4,14,1,9.8
1.4,15,8,2.61
1.7,11,8,6.23
1.7,12,8,5.89
1.7,14,9,1.79
1.7,15,1,9.95
2,10,8,7.51
2,14,8,6.51
2,15,3,9.9
2.3,12,8,7.73
2.3,13,8,7.55
2.3,14,8,7.36
2.3,15,9,3.48
2.6,5,9,8.08
2.6,12,9,5.39
2.6,14,8,7.93
2.6,15,9,4.23
1.4,5,10,5
1.4,6,10,6
1.4,7,10,7
1.4,9,10,9
1.4,10,10,10
1.4,12,10,12
1.4,13,10,13
1.7,5,10,5
1.7,6,10,6
1.7,7,10,7
1.7,8,10,8
1.7,9,10,9
1.7,10,10,10
1.7,13,10,13
2,5,10,5
2,6,10,6
2,7,10,7
2,8,10,8
2,9,10,9
2,11,10,11
2,12,10,12
2,13,10,13
2.3,5,10,5
2.3,6,10,6
2.3,7,10,7
2.3,8,10,8
2.3,9,10,9
2.3,10,10,10
2.3,11,10,11
2.6,6,10,6
2.6,7,10,7
2.6,8,10,8
2.6,9,10,9
2.6,10,10,10
2.6,11,10,11
2.6,13,10,13
