Alpha,Final_Value,Turn_Left,Trial_earnings
1.4,5,1,9.93
1.4,6,4,9.39
1.4,7,4,9.29
1.4,9,3,9.44
1.4,10,1,9.86
1.4,11,2,9.62
1.4,12,1,9.83
1.4,13,2,9.55
1.4,14,2,9.52
1.4,15,6,6.49
1.7,5,2,9.95
1.7,6,4,9.78
1.7,7,1,9.98
1.7,9,3,9.82
1.7,10,1,9.97
1.7,11,1,9.96
1.7,12,1,9.96
1.7,14,2,9.87
1.7,15,1,9.95
2,5,1,9.99
2,6,8,8.5
2,7,1,9.99
2,8,5,9.76
2,9,3,9.94
2,10,8,7.51
2,11,2,9.97
2,12,1,9.99
2,13,2,9.96
2,14,5,9.58
2.3,5,1,9.99
2.3,6,4,9.96
2.3,7,1,9.99
2.3,8,5,9.88
2.3,9,1,9.99
2.3,10,3,9.97
2.3,11,1,9.99
2.3,12,1,9.99
2.3,13,3,9.96
2.3,15,1,9.99
2.6,5,3,9.99
2.6,6,7,9.66
2.6,8,4,9.97
2.6,9,1,9.99
2.6,10,2,9.99
2.6,11,5,9.91
2.6,12,1,9.99
2.6,13,3,9.98
2.6,14,1,9.99
2.6,15,1,9.99
1.4,8,10,8
1.7,8,10,8
1.7,13,10,13
2,15,10,15
2.3,14,10,14
2.6,7,10,7
