Alpha,Final_Value,Turn_Left,Trial_earnings
1.4,5,5,9.22
1.4,6,2,9.79
1.4,7,5,9.06
1.4,8,1,9.89
1.4,9,1,9.87
1.4,10,4,8.98
1.4,11,10,11
1.4,12,2,9.59
1.4,13,1,9.81
1.4,15,7,4.87
1.7,5,3,9.9
1.7,6,1,9.98
1.7,7,1,9.98
1.7,8,1,9.98
1.7,9,1,9.97
1.7,10,9,4.14
1.7,11,2,9.9
1.7,12,1,9.96
1.7,13,8,5.54
1.7,14,8,5.2
1.7,15,1,9.95
2,5,1,9.99
2,6,1,9.99
2,7,7,9.13
2,8,3,9.95
2,9,1,9.99
2,10,1,9.99
2,11,1,9.99
2,13,1,9.99
2,14,1,9.99
2,15,1,9.99
2.3,5,2,9.99
2.3,6,1,9.99
2.3,7,3,9.98
2.3,8,4,9.95
2.3,9,1,9.99
2.3,10,1,9.99
2.3,11,3,9.97
2.3,12,1,9.99
2.3,13,6,9.54
2.3,14,2,9.99
2.6,5,7,9.72
2.6,6,6,9.87
2.6,7,3,9.99
2.6,8,1,9.99
2.6,9,2,9.99
2.6,10,1,9.99
2.6,12,8,8.23
2.6,13,1,9.99
2.6,15,2,9.99
1.4,14,10,14
2,12,10,12
2.3,15,10,15
2.6,11,10,11
2.6,14,10,14
