Alpha,Final_Value,Turn_Left,Trial_earnings
1.4,5,5,9.22
1.4,6,2,9.79
1.4,7,5,9.06
1.4,8,2,9.72
1.4,9,2,9.69
1.4,10,1,9.86
1.4,11,3,9.31
1.4,12,2,9.59
1.4,13,3,9.19
1.4,14,3,9.13
1.4,15,3,9.06
1.7,5,3,9.9
1.7,6,2,9.94
1.7,7,2,9.93
1.7,8,2,9.93
1.7,9,4,9.67
1.7,10,4,9.63
1.7,11,1,9.96
1.7,12,2,9.89
1.7,13,2,9.88
1.7,15,2,9.86
2,5,3,9.97
2,6,3,9.96
2,7,4,9.9
2,8,3,9.95
2,9,1,9.99
2,10,2,9.97
2,11,1,9.99
2,12,2,9.96
2,13,2,9.96
2,14,2,9.96
2,15,2,9.96
2.3,5,2,9.99
2.3,6,1,9.99
2.3,7,3,9.98
2.3,8,3,9.98
2.3,9,4,9.94
2.3,10,2,9.99
2.3,11,1,9.99
2.3,12,2,9.99
2.3,14,4,9.91
2.3,15,4,9.9
2.6,5,1,9.99
2.6,7,2,9.99
2.6,8,3,9.99
2.6,9,1,9.99
2.6,10,2,9.99
2.6,11,1,9.99
2.6,12,1,9.99
2.6,13,3,9.98
2.6,14,3,9.98
2.6,15,3,9.98
1.7,14,10,14
2.3,13,10,13
2.6,6,10,6
