Alpha,Final_Value,Turn_Left,Trial_earnings
1.4,5,3,9.69
1.4,6,4,9.39
1.4,7,3,9.56
1.4,8,4,9.19
1.4,9,8,5.57
1.4,10,4,8.98
1.4,11,2,9.62
1.4,14,4,8.58
1.4,15,8,2.61
1.7,5,2,9.95
1.7,7,9,5.9
1.7,8,1,9.98
1.7,9,1,9.97
1.7,10,1,9.97
1.7,13,9,2.38
1.7,14,9,1.79
1.7,15,6,8.27
2,5,7,9.38
2,6,1,9.99
2,7,1,9.99
2,8,1,9.99
2,9,1,9.99
2,10,5,9.7
2,11,1,9.99
2,12,5,9.64
2,15,7,8.14
2.3,5,3,9.99
2.3,7,8,8.68
2.3,8,1,9.99
2.3,9,4,9.94
2.3,10,9,5.65
2.3,11,1,9.99
2.3,13,1,9.99
2.3,14,7,8.85
2.3,15,7,8.77
2.6,5,1,9.99
2.6,10,3,9.99
2.6,12,1,9.99
2.6,14,6,9.69
2.6,15,1,9.99
1.4,12,10,12
1.4,13,10,13
1.7,6,10,6
1.7,11,10,11
1.7,12,10,12
2,13,10,13
2,14,10,14
2.3,6,10,6
2.3,12,10,12
2.6,6,10,6
2.6,7,10,7
2.6,8,10,8
2.6,9,10,9
2.6,11,10,11
2.6,13,10,13
