Alpha,Final_Value,Turn_Left,Trial_earnings
1.4,5,4,9.49
1.4,6,2,9.79
1.4,7,1,9.9
1.4,8,1,9.89
1.4,9,2,9.69
1.4,10,2,9.66
1.4,11,3,9.31
1.4,12,2,9.59
1.4,13,2,9.55
1.4,14,1,9.8
1.4,15,3,9.06
1.7,7,4,9.74
1.7,8,7,8.4
1.7,9,6,8.96
1.7,10,4,9.63
1.7,11,3,9.79
1.7,12,1,9.96
1.7,14,3,9.73
1.7,15,9,1.21
2,6,2,9.98
2,9,7,8.88
2,12,7,8.51
2,13,7,8.39
2,14,7,8.26
2.3,12,9,4.78
2.6,14,9,4.62
2.6,15,9,4.23
1.7,5,10,5
1.7,6,10,6
1.7,13,10,13
2,5,10,5
2,7,10,7
2,8,10,8
2,10,10,10
2,11,10,11
2,15,10,15
2.3,5,10,5
2.3,6,10,6
2.3,7,10,7
2.3,8,10,8
2.3,9,10,9
2.3,10,10,10
2.3,11,10,11
2.3,13,10,13
2.3,14,10,14
2.3,15,10,15
2.6,5,10,5
2.6,6,10,6
2.6,7,10,7
2.6,8,10,8
2.6,9,10,9
2.6,10,10,10
2.6,11,10,11
2.6,12,10,12
2.6,13,10,13
