Alpha,Final_Value,Turn_Left,Trial_earnings
1.4,6,2,9.79
1.4,8,2,9.72
1.4,9,1,9.87
1.4,10,2,9.66
1.4,11,4,8.88
1.4,12,1,9.83
1.4,13,4,8.68
1.4,14,1,9.8
1.7,5,1,9.98
1.7,7,4,9.74
1.7,8,2,9.93
1.7,9,8,6.92
1.7,11,2,9.9
1.7,12,1,9.96
2,5,1,9.99
2,6,1,9.99
2,7,6,9.57
2,9,2,9.97
2,10,5,9.7
2,11,1,9.99
2.3,5,1,9.99
2.3,6,1,9.99
2.3,7,2,9.99
2.3,8,1,9.99
2.3,10,8,8.11
2.3,11,6,9.61
2.3,12,1,9.99
2.3,13,2,9.99
2.6,6,1,9.99
2.6,7,2,9.99
2.6,8,3,9.99
2.6,9,3,9.99
2.6,11,7,9.37
2.6,12,4,9.96
1.4,5,10,5
1.4,7,10,7
1.4,15,10,15
1.7,6,10,6
1.7,10,10,10
1.7,13,10,13
1.7,14,10,14
1.7,15,10,15
2,8,10,8
2,12,10,12
2,13,10,13
2,14,10,14
2,15,10,15
2.3,9,10,9
2.3,14,10,14
2.3,15,10,15
2.6,5,10,5
2.6,10,10,10
2.6,13,10,13
2.6,14,10,14
2.6,15,10,15
