Alpha,Final_Value,Turn_Left,Trial_earnings
1.4,5,6,8.84
1.4,6,2,9.79
1.4,7,4,9.29
1.4,8,1,9.89
1.4,9,3,9.44
1.4,10,3,9.38
1.4,11,10,11
1.4,12,2,9.59
1.4,13,1,9.81
1.4,14,1,9.8
1.4,15,1,9.79
1.7,6,4,9.78
1.7,8,6,9.08
1.7,9,2,9.92
1.7,10,6,8.85
1.7,11,1,9.96
1.7,12,5,9.21
1.7,13,3,9.75
1.7,14,8,5.2
1.7,15,3,9.71
2,6,5,9.82
2,8,5,9.76
2,9,6,9.45
2,12,6,9.26
2,13,6,9.2
2,14,2,9.96
2,15,6,9.08
2.3,9,5,9.86
2.3,14,6,9.5
2.6,7,7,9.6
2.6,11,5,9.91
2.6,13,7,9.26
1.7,5,10,5
1.7,7,10,7
2,5,10,5
2,7,10,7
2,10,10,10
2,11,10,11
2.3,5,10,5
2.3,6,10,6
2.3,7,10,7
2.3,8,10,8
2.3,10,10,10
2.3,11,10,11
2.3,12,10,12
2.3,13,10,13
2.3,15,10,15
2.6,5,10,5
2.6,6,10,6
2.6,8,10,8
2.6,9,10,9
2.6,10,10,10
2.6,12,10,12
2.6,14,10,14
2.6,15,10,15
