Alpha,Final_Value,Turn_Left,Trial_earnings
1.4,5,1,9.93
1.4,6,1,9.91
1.4,7,2,9.76
1.4,8,1,9.89
1.4,9,3,9.44
1.4,10,4,8.98
1.4,11,10,11
1.4,12,1,9.83
1.4,13,1,9.81
1.4,14,1,9.8
1.4,15,1,9.79
1.7,5,7,9
1.7,7,1,9.98
1.7,9,1,9.97
1.7,10,2,9.91
1.7,11,1,9.96
1.7,12,1,9.96
1.7,13,4,9.52
1.7,14,4,9.49
1.7,15,1,9.95
2,5,1,9.99
2,6,1,9.99
2,7,1,9.99
2,8,7,9.01
2,9,1,9.99
2,10,2,9.97
2,11,1,9.99
2,12,1,9.99
2,13,1,9.99
2,14,2,9.96
2,15,1,9.99
2.3,5,1,9.99
2.3,6,1,9.99
2.3,7,1,9.99
2.3,8,1,9.99
2.3,9,1,9.99
2.3,10,2,9.99
2.3,11,9,5.22
2.3,12,2,9.99
2.3,13,2,9.99
2.3,14,1,9.99
2.3,15,1,9.99
2.6,5,3,9.99
2.6,6,1,9.99
2.6,7,1,9.99
2.6,8,1,9.99
2.6,9,1,9.99
2.6,11,8,8.37
2.6,12,1,9.99
2.6,13,1,9.99
2.6,14,1,9.99
2.6,15,1,9.99
1.7,6,10,6
1.7,8,10,8
2.6,10,10,10
