Alpha,Final_Value,Turn_Left,Trial_earnings
1.4,5,1,9.93
1.4,6,2,9.79
1.4,7,1,9.9
1.4,8,1,9.89
1.4,9,1,9.87
1.4,10,1,9.86
1.4,11,10,11
1.4,12,1,9.83
1.4,13,1,9.81
1.4,14,3,9.13
1.4,15,1,9.79
1.7,5,3,9.9
1.7,6,2,9.94
1.7,7,3,9.86
1.7,9,4,9.67
1.7,10,9,4.14
1.7,11,1,9.96
1.7,12,1,9.96
1.7,13,7,7.41
1.7,14,7,7.21
1.7,15,2,9.86
2,9,8,7.76
2,11,2,9.97
2,12,3,9.92
2,13,2,9.96
2,14,2,9.96
2,15,9,2.51
2.3,10,6,9.64
2.3,11,4,9.93
2.3,13,4,9.92
2.3,14,4,9.91
2.3,15,9,3.48
2.6,9,7,9.49
2.6,11,7,9.37
2.6,12,9,5.39
2.6,14,7,9.2
1.7,8,10,8
2,5,10,5
2,6,10,6
2,7,10,7
2,8,10,8
2,10,10,10
2.3,5,10,5
2.3,6,10,6
2.3,7,10,7
2.3,8,10,8
2.3,9,10,9
2.3,12,10,12
2.6,5,10,5
2.6,6,10,6
2.6,7,10,7
2.6,8,10,8
2.6,10,10,10
2.6,13,10,13
2.6,15,10,15
