Alpha,Final_Value,Turn_Left,Trial_earnings
1.4,6,1,9.91
1.4,7,1,9.9
1.4,8,6,8.13
1.4,9,5,8.59
1.4,12,3,9.25
1.4,13,7,5.56
1.4,15,2,9.48
1.7,7,7,8.6
1.7,8,6,9.08
1.7,9,6,8.96
1.7,11,6,8.73
1.7,12,2,9.89
1.7,13,2,9.88
1.7,14,5,9.08
1.7,15,6,8.27
2,5,6,9.69
2,6,8,8.5
2,7,5,9.79
2,8,9,6
2,10,7,8.76
2,11,5,9.67
2,12,1,9.99
2,14,4,9.79
2.3,6,3,9.98
2.3,7,7,9.43
2.3,8,2,9.99
2.3,9,1,9.99
2.3,12,7,9.02
2.3,13,7,8.93
2.3,14,8,7.36
2.3,15,7,8.77
2.6,8,2,9.99
2.6,9,8,8.67
2.6,12,1,9.99
2.6,13,7,9.26
2.6,14,5,9.88
2.6,15,7,9.15
1.4,5,10,5
1.4,10,10,10
1.4,11,10,11
1.4,14,10,14
1.7,5,10,5
1.7,6,10,6
1.7,10,10,10
2,9,10,9
2,13,10,13
2,15,10,15
2.3,5,10,5
2.3,10,10,10
2.3,11,10,11
2.6,5,10,5
2.6,6,10,6
2.6,7,10,7
2.6,10,10,10
2.6,11,10,11
