Alpha,Final_Value,Turn_Left,Trial_earnings
1.4,5,3,9.69
1.4,6,2,9.79
1.4,7,2,9.76
1.4,9,1,9.87
1.4,10,3,9.38
1.4,11,2,9.62
1.4,12,2,9.59
1.4,13,1,9.81
1.4,14,3,9.13
1.4,15,5,7.65
1.7,7,5,9.54
1.7,8,8,7.26
1.7,10,7,8
1.7,11,2,9.9
1.7,12,7,7.61
1.7,13,6,8.5
1.7,14,7,7.21
1.7,15,7,7.01
2,10,9,5
2,13,7,8.39
2,14,5,9.58
2.3,13,9,4.35
2.3,14,7,8.85
2.3,15,8,7.17
2.6,13,7,9.26
2.6,14,8,7.93
1.4,8,10,8
1.7,5,10,5
1.7,6,10,6
1.7,9,10,9
2,5,10,5
2,6,10,6
2,7,10,7
2,8,10,8
2,9,10,9
2,11,10,11
2,12,10,12
2,15,10,15
2.3,5,10,5
2.3,6,10,6
2.3,7,10,7
2.3,8,10,8
2.3,9,10,9
2.3,10,10,10
2.3,11,10,11
2.3,12,10,12
2.6,5,10,5
2.6,6,10,6
2.6,7,10,7
2.6,8,10,8
2.6,9,10,9
2.6,10,10,10
2.6,11,10,11
2.6,12,10,12
2.6,15,10,15
