Alpha,Final_Value,Turn_Left,Trial_earnings
1.4,10,1,9.86
1.4,11,10,11
1.7,6,1,9.98
1.7,7,2,9.93
1.7,9,5,9.41
1.7,10,4,9.63
1.7,12,3,9.77
1.7,13,9,2.38
1.7,14,7,7.21
1.7,15,2,9.86
2,6,3,9.96
2,7,1,9.99
2,11,1,9.99
2,13,3,9.91
2,14,1,9.99
2.3,5,1,9.99
2.3,7,1,9.99
2.3,8,6,9.72
2.3,9,7,9.26
2.3,11,2,9.99
2.3,12,5,9.82
2.3,14,6,9.5
2.6,6,1,9.99
2.6,10,1,9.99
2.6,12,4,9.96
2.6,13,5,9.89
1.4,5,10,5
1.4,6,10,6
1.4,7,10,7
1.4,8,10,8
1.4,9,10,9
1.4,12,10,12
1.4,13,10,13
1.4,14,10,14
1.4,15,10,15
1.7,5,10,5
1.7,8,10,8
1.7,11,10,11
2,5,10,5
2,8,10,8
2,9,10,9
2,10,10,10
2,12,10,12
2,15,10,15
2.3,6,10,6
2.3,10,10,10
2.3,13,10,13
2.3,15,10,15
2.6,5,10,5
2.6,7,10,7
2.6,8,10,8
2.6,9,10,9
2.6,11,10,11
2.6,14,10,14
2.6,15,10,15
