Alpha,Final_Value,Turn_Left,Trial_earnings
1.4,6,2,9.79
1.4,7,5,9.06
1.4,8,2,9.72
1.4,9,7,6.92
1.4,11,8,4.58
1.4,15,3,9.06
1.7,5,1,9.98
1.7,6,7,8.8
1.7,10,4,9.63
1.7,11,4,9.6
1.7,12,9,2.97
1.7,13,5,9.14
2,6,9,7
2,12,1,9.99
2,13,7,8.39
2,14,9,3.01
2,15,2,9.96
2.3,8,1,9.99
2.3,12,9,4.78
2.3,13,1,9.99
2.3,14,1,9.99
2.3,15,9,3.48
2.6,8,5,9.93
2.6,12,1,9.99
2.6,13,9,5
2.6,15,2,9.99
1.4,5,10,5
1.4,10,10,10
1.4,12,10,12
1.4,13,10,13
1.4,14,10,14
1.7,7,10,7
1.7,8,10,8
1.7,9,10,9
1.7,14,10,14
1.7,15,10,15
2,5,10,5
2,7,10,7
2,8,10,8
2,9,10,9
2,10,10,10
2,11,10,11
2.3,5,10,5
2.3,6,10,6
2.3,7,10,7
2.3,9,10,9
2.3,10,10,10
2.3,11,10,11
2.6,5,10,5
2.6,6,10,6
2.6,7,10,7
2.6,9,10,9
2.6,10,10,10
2.6,11,10,11
2.6,14,10,14
