Alpha,Final_Value,Turn_Left,Trial_earnings
1.4,5,1,9.93
1.4,6,1,9.91
1.4,7,1,9.9
1.4,8,8,6.06
1.4,9,2,9.69
1.4,10,2,9.66
1.4,11,2,9.62
1.4,12,2,9.59
1.4,13,1,9.81
1.4,14,1,9.8
1.4,15,1,9.79
1.7,5,4,9.82
1.7,6,9,6.48
1.7,7,3,9.86
1.7,8,3,9.86
1.7,9,6,8.96
1.7,10,5,9.34
1.7,11,3,9.79
1.7,12,5,9.21
1.7,13,3,9.75
1.7,14,5,9.08
1.7,15,4,9.45
2,9,5,9.73
2,10,3,9.93
2,12,8,7.01
2,13,8,6.76
2,15,8,6.26
2.3,5,1,9.99
2.3,7,8,8.68
2.3,13,7,8.93
2.3,14,7,8.85
2.3,15,7,8.77
2.6,10,1,9.99
2.6,11,1,9.99
2,5,10,5
2,6,10,6
2,7,10,7
2,8,10,8
2,11,10,11
2,14,10,14
2.3,6,10,6
2.3,8,10,8
2.3,9,10,9
2.3,10,10,10
2.3,11,10,11
2.3,12,10,12
2.6,5,10,5
2.6,6,10,6
2.6,7,10,7
2.6,8,10,8
2.6,9,10,9
2.6,12,10,12
2.6,13,10,13
2.6,14,10,14
2.6,15,10,15
