Alpha,Final_Value,Turn_Left,Trial_earnings
1.4,5,1,9.93
1.4,6,3,9.63
1.4,7,1,9.9
1.4,8,7,7.27
1.4,11,10,11
1.4,12,1,9.83
1.4,15,5,7.65
1.7,8,1,9.98
1.7,13,9,2.38
2,5,1,9.99
2,6,1,9.99
2,7,1,9.99
2,9,1,9.99
2,10,1,9.99
2.3,5,9,7.83
2.3,6,1,9.99
2.3,10,1,9.99
2.3,11,8,7.92
2.3,12,8,7.73
2.3,14,1,9.99
2.3,15,7,8.77
2.6,9,1,9.99
2.6,10,1,9.99
2.6,11,9,5.77
2.6,15,9,4.23
1.4,9,10,9
1.4,10,10,10
1.4,13,10,13
1.4,14,10,14
1.7,5,10,5
1.7,6,10,6
1.7,7,10,7
1.7,9,10,9
1.7,10,10,10
1.7,11,10,11
1.7,12,10,12
1.7,14,10,14
1.7,15,10,15
2,8,10,8
2,11,10,11
2,12,10,12
2,13,10,13
2,14,10,14
2,15,10,15
2.3,7,10,7
2.3,8,10,8
2.3,9,10,9
2.3,13,10,13
2.6,5,10,5
2.6,6,10,6
2.6,7,10,7
2.6,8,10,8
2.6,12,10,12
2.6,13,10,13
2.6,14,10,14
