Alpha,Final_Value,Turn_Left,Trial_earnings
1.4,5,2,9.83
1.4,6,1,9.91
1.4,7,1,9.9
1.4,8,2,9.72
1.4,9,1,9.87
1.4,10,1,9.86
1.4,11,2,9.62
1.4,12,2,9.59
1.4,13,1,9.81
1.4,14,1,9.8
1.4,15,1,9.79
1.7,5,1,9.98
1.7,6,4,9.78
1.7,7,5,9.54
1.7,8,2,9.93
1.7,9,1,9.97
1.7,10,3,9.8
1.7,11,8,6.23
1.7,12,3,9.77
1.7,13,2,9.88
1.7,14,2,9.87
1.7,15,1,9.95
2,5,1,9.99
2,7,3,9.95
2,8,3,9.95
2,9,2,9.97
2,10,3,9.93
2,11,2,9.97
2,12,9,4.01
2,13,3,9.91
2,14,6,9.14
2,15,3,9.9
2.3,8,7,9.34
2.3,10,7,9.18
2.3,12,5,9.82
2.3,13,4,9.92
2.3,14,6,9.5
2.3,15,2,9.98
2.6,7,8,8.96
2.6,10,7,9.43
2,6,10,6
2.3,5,10,5
2.3,6,10,6
2.3,7,10,7
2.3,9,10,9
2.3,11,10,11
2.6,5,10,5
2.6,6,10,6
2.6,8,10,8
2.6,9,10,9
2.6,11,10,11
2.6,12,10,12
2.6,13,10,13
2.6,14,10,14
2.6,15,10,15
