Alpha,Final_Value,Turn_Left,Trial_earnings
1.4,5,1,9.93
1.4,6,1,9.91
1.4,7,1,9.9
1.4,8,1,9.89
1.4,9,1,9.87
1.4,10,1,9.86
1.4,11,10,11
1.4,12,1,9.83
1.4,13,1,9.81
1.4,14,1,9.8
1.4,15,1,9.79
1.7,5,1,9.98
1.7,6,1,9.98
1.7,7,1,9.98
1.7,8,1,9.98
1.7,9,1,9.97
1.7,10,1,9.97
1.7,11,1,9.96
1.7,12,1,9.96
1.7,13,1,9.95
1.7,14,1,9.95
1.7,15,1,9.95
2,6,2,9.98
2,7,2,9.98
2,8,2,9.98
2,9,2,9.97
2,10,2,9.97
2,11,2,9.97
2,12,2,9.96
2,13,3,9.91
2,14,2,9.96
2,15,2,9.96
2.3,6,3,9.98
2.3,7,3,9.98
2.3,8,3,9.98
2.3,9,3,9.98
2.3,10,3,9.97
2.3,11,3,9.97
2.3,12,3,9.97
2.3,13,3,9.96
2.3,14,3,9.96
2.3,15,2,9.98
2.6,12,4,9.96
2.6,13,3,9.98
2.6,14,3,9.98
2.6,15,3,9.98
2,5,10,5
2.3,5,10,5
2.6,5,10,5
2.6,6,10,6
2.6,7,10,7
2.6,8,10,8
2.6,9,10,9
2.6,10,10,10
2.6,11,10,11
