Alpha,Final_Value,Turn_Left,Trial_earnings
1.4,5,5,9.22
1.4,8,1,9.89
1.4,9,6,7.9
1.4,10,4,8.98
1.4,11,10,11
1.4,12,1,9.83
1.4,14,1,9.8
1.4,15,1,9.79
1.7,5,1,9.98
1.7,8,8,7.26
1.7,10,6,8.85
1.7,11,1,9.96
1.7,14,1,9.95
1.7,15,1,9.95
2,10,8,7.51
2,14,8,6.51
2.3,9,9,6.09
2.3,10,9,5.65
2.3,11,8,7.92
2.3,12,1,9.99
2.3,13,1,9.99
2.3,14,7,8.85
2.3,15,9,3.48
2.6,5,4,9.98
2.6,8,9,6.92
2.6,11,8,8.37
1.4,6,10,6
1.4,7,10,7
1.4,13,10,13
1.7,6,10,6
1.7,7,10,7
1.7,9,10,9
1.7,12,10,12
1.7,13,10,13
2,5,10,5
2,6,10,6
2,7,10,7
2,8,10,8
2,9,10,9
2,11,10,11
2,12,10,12
2,13,10,13
2,15,10,15
2.3,5,10,5
2.3,6,10,6
2.3,7,10,7
2.3,8,10,8
2.6,6,10,6
2.6,7,10,7
2.6,9,10,9
2.6,10,10,10
2.6,12,10,12
2.6,13,10,13
2.6,14,10,14
2.6,15,10,15
