Alpha,Final_Value,Turn_Left,Trial_earnings
1.4,5,1,9.93
1.4,6,2,9.79
1.4,8,1,9.89
1.4,10,2,9.66
1.4,11,4,8.88
1.4,12,1,9.83
1.4,13,7,5.56
1.4,15,1,9.79
1.7,5,1,9.98
1.7,9,1,9.97
1.7,10,3,9.8
1.7,11,7,7.8
1.7,12,4,9.56
1.7,14,4,9.49
1.7,15,6,8.27
2,5,1,9.99
2,6,4,9.91
2,9,1,9.99
2,10,5,9.7
2,11,4,9.84
2,12,1,9.99
2,13,4,9.81
2,14,1,9.99
2.3,5,4,9.97
2.3,8,2,9.99
2.3,9,3,9.98
2.3,10,3,9.97
2.3,13,1,9.99
2.6,8,1,9.99
2.6,9,4,9.97
2.6,10,1,9.99
2.6,13,1,9.99
2.6,14,2,9.99
2.6,15,1,9.99
1.4,7,10,7
1.4,9,10,9
1.4,14,10,14
1.7,6,10,6
1.7,7,10,7
1.7,8,10,8
1.7,13,10,13
2,7,10,7
2,8,10,8
2,15,10,15
2.3,6,10,6
2.3,7,10,7
2.3,11,10,11
2.3,12,10,12
2.3,14,10,14
2.3,15,10,15
2.6,5,10,5
2.6,6,10,6
2.6,7,10,7
2.6,11,10,11
2.6,12,10,12
