Alpha,Final_Value,Turn_Left,Trial_earnings
1.4,5,2,9.83
1.4,6,1,9.91
1.4,7,2,9.76
1.4,8,1,9.89
1.4,11,10,11
1.4,12,1,9.83
1.4,13,1,9.81
1.4,14,2,9.52
1.4,15,4,8.47
1.7,5,6,9.42
1.7,6,2,9.94
1.7,7,1,9.98
1.7,8,1,9.98
1.7,9,6,8.96
1.7,11,3,9.79
1.7,12,1,9.96
1.7,13,4,9.52
1.7,15,5,9.01
2,5,2,9.99
2,7,3,9.95
2,8,7,9.01
2,9,3,9.94
2,10,3,9.93
2,11,3,9.92
2,12,3,9.92
2,13,5,9.61
2,14,1,9.99
2,15,8,6.26
2.3,5,1,9.99
2.3,6,1,9.99
2.3,7,8,8.68
2.3,9,2,9.99
2.3,10,4,9.93
2.3,12,3,9.97
2.6,5,1,9.99
2.6,6,6,9.87
2.6,8,2,9.99
2.6,9,4,9.97
2.6,10,2,9.99
2.6,11,3,9.99
2.6,13,6,9.72
2.6,14,8,7.93
2.6,15,2,9.99
1.4,9,10,9
1.4,10,10,10
1.7,10,10,10
1.7,14,10,14
2,6,10,6
2.3,8,10,8
2.3,11,10,11
2.3,13,10,13
2.3,14,10,14
2.3,15,10,15
2.6,7,10,7
2.6,12,10,12
