Alpha,Final_Value,Turn_Left,Trial_earnings
1.4,6,3,9.63
1.4,7,3,9.56
1.4,8,5,8.75
1.4,10,1,9.86
1.4,11,2,9.62
1.4,12,3,9.25
1.4,13,4,8.68
1.4,14,2,9.52
1.4,15,2,9.48
1.7,6,4,9.78
1.7,7,7,8.6
1.7,8,5,9.47
1.7,9,2,9.92
1.7,10,5,9.34
1.7,11,1,9.96
1.7,12,3,9.77
1.7,13,2,9.88
1.7,14,1,9.95
1.7,15,4,9.45
2,9,7,8.88
2,11,1,9.99
2,12,6,9.26
2,13,7,8.39
2,14,1,9.99
2,15,3,9.9
2.3,6,7,9.51
2.3,9,7,9.26
2.3,10,5,9.85
2.3,11,7,9.1
2.3,12,7,9.02
2.3,13,7,8.93
2.3,14,6,9.5
2.6,5,8,9.26
2.6,6,1,9.99
2.6,11,6,9.76
2.6,12,5,9.9
2.6,14,7,9.2
2.6,15,6,9.67
1.4,5,10,5
1.4,9,10,9
1.7,5,10,5
2,5,10,5
2,6,10,6
2,7,10,7
2,8,10,8
2,10,10,10
2.3,5,10,5
2.3,7,10,7
2.3,8,10,8
2.3,15,10,15
2.6,7,10,7
2.6,8,10,8
2.6,9,10,9
2.6,10,10,10
2.6,13,10,13
