Alpha,Final_Value,Turn_Left,Trial_earnings
1.4,5,2,9.83
1.4,6,2,9.79
1.4,7,4,9.29
1.4,8,3,9.5
1.4,9,3,9.44
1.4,10,1,9.86
1.4,11,2,9.62
1.4,12,3,9.25
1.4,13,2,9.55
1.4,14,3,9.13
1.4,15,5,7.65
1.7,5,4,9.82
1.7,6,4,9.78
1.7,8,5,9.47
1.7,9,3,9.82
1.7,10,3,9.8
1.7,11,3,9.79
1.7,12,5,9.21
1.7,13,6,8.5
1.7,14,4,9.49
1.7,15,2,9.86
2,6,5,9.82
2,8,7,9.01
2,10,5,9.7
2,12,5,9.64
2,13,6,9.2
2,14,4,9.79
2,15,3,9.9
2.3,5,8,9.06
2.3,6,6,9.79
2.3,8,6,9.72
2.3,9,6,9.68
2.3,11,9,5.22
2.3,12,7,9.02
2.3,15,5,9.77
2.6,7,9,7.31
2.6,10,6,9.78
2.6,14,5,9.88
1.7,7,10,7
2,5,10,5
2,7,10,7
2,9,10,9
2,11,10,11
2.3,7,10,7
2.3,10,10,10
2.3,13,10,13
2.3,14,10,14
2.6,5,10,5
2.6,6,10,6
2.6,8,10,8
2.6,9,10,9
2.6,11,10,11
2.6,12,10,12
2.6,13,10,13
2.6,15,10,15
