Alpha,Final_Value,Turn_Left,Trial_earnings
1.4,5,1,9.93
1.4,6,8,7.04
1.4,7,5,9.06
1.4,10,6,7.66
1.4,12,9,1.55
1.4,13,5,7.96
1.4,14,7,5.22
1.4,15,4,8.47
1.7,7,9,5.9
1.7,10,5,9.34
1.7,11,9,3.55
1.7,13,5,9.14
1.7,15,8,4.86
2,10,8,7.51
2,11,9,4.51
2,12,1,9.99
2,14,7,8.26
2,15,1,9.99
2.3,5,1,9.99
2.3,6,3,9.98
2.3,8,1,9.99
2.3,10,2,9.99
2.3,11,9,5.22
2.3,14,9,3.91
2.6,5,9,8.08
2.6,7,1,9.99
2.6,8,1,9.99
2.6,9,9,6.54
2.6,10,1,9.99
2.6,14,4,9.96
2.6,15,1,9.99
1.4,8,10,8
1.4,9,10,9
1.4,11,10,11
1.7,5,10,5
1.7,6,10,6
1.7,8,10,8
1.7,9,10,9
1.7,12,10,12
1.7,14,10,14
2,5,10,5
2,6,10,6
2,7,10,7
2,8,10,8
2,9,10,9
2,13,10,13
2.3,7,10,7
2.3,9,10,9
2.3,12,10,12
2.3,13,10,13
2.3,15,10,15
2.6,6,10,6
2.6,11,10,11
2.6,12,10,12
2.6,13,10,13
