Alpha,Final_Value,Turn_Left,Trial_earnings
1.4,5,8,7.54
1.4,6,7,7.95
1.4,7,2,9.76
1.4,8,5,8.75
1.4,9,1,9.87
1.4,10,1,9.86
1.4,11,10,11
1.4,12,6,7.19
1.4,13,3,9.19
1.4,14,4,8.58
1.4,15,3,9.06
1.7,6,7,8.8
1.7,7,9,5.9
1.7,8,6,9.08
1.7,9,8,6.92
1.7,10,6,8.85
1.7,11,7,7.8
1.7,12,5,9.21
1.7,13,9,2.38
1.7,14,5,9.08
1.7,15,5,9.01
2,7,8,8.26
2,9,7,8.88
2,11,8,7.26
2,12,6,9.26
2,13,7,8.39
2,14,7,8.26
2,15,7,8.14
2.3,8,8,8.49
2.3,9,8,8.3
2.3,11,8,7.92
2.3,12,7,9.02
2.3,13,7,8.93
2.3,14,7,8.85
2.3,15,7,8.77
1.7,5,10,5
2,5,10,5
2,6,10,6
2,8,10,8
2,10,10,10
2.3,5,10,5
2.3,6,10,6
2.3,7,10,7
2.3,10,10,10
2.6,5,10,5
2.6,6,10,6
2.6,7,10,7
2.6,8,10,8
2.6,9,10,9
2.6,10,10,10
2.6,11,10,11
2.6,12,10,12
2.6,13,10,13
2.6,14,10,14
2.6,15,10,15
