Alpha,Final_Value,Turn_Left,Trial_earnings
1.4,5,1,9.93
1.4,6,3,9.63
1.4,7,1,9.9
1.4,8,1,9.89
1.4,9,1,9.87
1.4,10,1,9.86
1.4,12,5,8.12
1.4,13,1,9.81
1.4,14,1,9.8
1.4,15,1,9.79
1.7,5,5,9.67
1.7,6,2,9.94
1.7,7,7,8.6
1.7,8,1,9.98
1.7,10,3,9.8
1.7,11,3,9.79
1.7,12,3,9.77
1.7,13,1,9.95
1.7,14,1,9.95
2,7,4,9.9
2,8,5,9.76
2,9,4,9.87
2,10,4,9.85
2,11,5,9.67
2,13,4,9.81
2,14,8,6.51
2,15,4,9.78
2.3,5,7,9.59
2.3,6,6,9.79
2.3,8,6,9.72
2.3,9,6,9.68
2.3,11,5,9.83
2.3,13,9,4.35
2.3,14,5,9.79
2.3,15,4,9.9
2.6,9,7,9.49
2.6,10,1,9.99
2.6,11,6,9.76
2.6,12,6,9.74
2.6,13,6,9.72
2.6,14,5,9.88
2.6,15,5,9.87
1.4,11,10,11
1.7,9,10,9
1.7,15,10,15
2,5,10,5
2,6,10,6
2,12,10,12
2.3,7,10,7
2.3,10,10,10
2.3,12,10,12
2.6,5,10,5
2.6,6,10,6
2.6,7,10,7
2.6,8,10,8
