Alpha,Final_Value,Turn_Left,Trial_earnings
1.4,5,1,9.93
1.4,11,3,9.31
1.4,14,1,9.8
1.7,5,5,9.67
1.7,6,1,9.98
1.7,7,1,9.98
1.7,8,1,9.98
1.7,9,3,9.82
1.7,10,2,9.91
1.7,12,1,9.96
1.7,14,5,9.08
1.7,15,3,9.71
2,5,2,9.99
2,6,1,9.99
2,7,1,9.99
2,9,6,9.45
2,10,1,9.99
2,11,3,9.92
2,14,5,9.58
2.3,7,2,9.99
2.3,8,1,9.99
2.3,9,1,9.99
2.3,10,1,9.99
2.3,12,2,9.99
2.3,13,2,9.99
2.3,14,1,9.99
2.6,10,2,9.99
2.6,11,1,9.99
2.6,12,3,9.99
2.6,14,4,9.96
2.6,15,1,9.99
1.4,6,10,6
1.4,7,10,7
1.4,8,10,8
1.4,9,10,9
1.4,10,10,10
1.4,12,10,12
1.4,13,10,13
1.4,15,10,15
1.7,11,10,11
1.7,13,10,13
2,8,10,8
2,12,10,12
2,13,10,13
2,15,10,15
2.3,5,10,5
2.3,6,10,6
2.3,11,10,11
2.3,15,10,15
2.6,5,10,5
2.6,6,10,6
2.6,7,10,7
2.6,8,10,8
2.6,9,10,9
2.6,13,10,13
