Alpha,Final_Value,Turn_Left,Trial_earnings
1.4,5,3,9.69
1.4,6,1,9.91
1.4,7,8,6.55
1.4,8,1,9.89
1.4,9,2,9.69
1.4,10,6,7.66
1.4,12,1,9.83
1.4,13,3,9.19
1.4,14,4,8.58
1.7,5,1,9.98
1.7,8,6,9.08
1.7,10,1,9.97
1.7,11,6,8.73
1.7,13,6,8.5
1.7,14,1,9.95
1.7,15,2,9.86
2,6,8,8.5
2,10,4,9.85
2.3,8,9,6.52
2.3,9,1,9.99
2.3,14,9,3.91
2.6,8,9,6.92
2.6,9,5,9.92
2.6,12,9,5.39
2.6,15,3,9.98
1.4,11,10,11
1.4,15,10,15
1.7,6,10,6
1.7,7,10,7
1.7,9,10,9
1.7,12,10,12
2,5,10,5
2,7,10,7
2,8,10,8
2,9,10,9
2,11,10,11
2,12,10,12
2,13,10,13
2,14,10,14
2,15,10,15
2.3,5,10,5
2.3,6,10,6
2.3,7,10,7
2.3,10,10,10
2.3,11,10,11
2.3,12,10,12
2.3,13,10,13
2.3,15,10,15
2.6,5,10,5
2.6,6,10,6
2.6,7,10,7
2.6,10,10,10
2.6,11,10,11
2.6,13,10,13
2.6,14,10,14
