Alpha,Final_Value,Turn_Left,Trial_earnings
1.4,5,3,9.69
1.4,6,5,9.06
1.4,7,3,9.56
1.4,8,3,9.5
1.4,9,4,9.08
1.4,10,4,8.98
1.4,11,10,11
1.4,12,2,9.59
1.4,13,2,9.55
1.4,14,3,9.13
1.4,15,2,9.48
1.7,5,6,9.42
1.7,6,6,9.31
1.7,8,6,9.08
1.7,9,5,9.41
1.7,10,6,8.85
1.7,11,3,9.79
1.7,12,3,9.77
1.7,13,8,5.54
1.7,14,3,9.73
1.7,15,4,9.45
2,9,7,8.88
2,10,7,8.76
2,11,9,4.51
2,12,7,8.51
2,13,7,8.39
2,14,7,8.26
2,15,7,8.14
2.3,12,8,7.73
2.3,13,7,8.93
2.3,14,7,8.85
2.3,15,6,9.47
2.6,12,8,8.23
2.6,14,1,9.99
2.6,15,8,7.78
1.7,7,10,7
2,5,10,5
2,6,10,6
2,7,10,7
2,8,10,8
2.3,5,10,5
2.3,6,10,6
2.3,7,10,7
2.3,8,10,8
2.3,9,10,9
2.3,10,10,10
2.3,11,10,11
2.6,5,10,5
2.6,6,10,6
2.6,7,10,7
2.6,8,10,8
2.6,9,10,9
2.6,10,10,10
2.6,11,10,11
2.6,13,10,13
