Alpha,Final_Value,Turn_Left,Trial_earnings
1.4,5,2,9.83
1.4,6,2,9.79
1.4,7,3,9.56
1.4,8,2,9.72
1.4,9,7,6.92
1.4,10,2,9.66
1.4,12,2,9.59
1.4,14,1,9.8
1.4,15,3,9.06
1.7,5,7,9
1.7,6,5,9.61
1.7,7,4,9.74
1.7,8,1,9.98
1.7,9,2,9.92
1.7,10,1,9.97
1.7,12,3,9.77
1.7,13,6,8.5
1.7,14,4,9.49
1.7,15,4,9.45
2,5,4,9.93
2,6,3,9.96
2,7,5,9.79
2,8,7,9.01
2,9,1,9.99
2,10,1,9.99
2,11,7,8.63
2,12,3,9.92
2,13,7,8.39
2,14,1,9.99
2,15,1,9.99
2.3,5,4,9.97
2.3,6,1,9.99
2.3,8,7,9.34
2.3,9,4,9.94
2.3,10,7,9.18
2.3,11,5,9.83
2.3,12,2,9.99
2.3,13,9,4.35
2.3,14,6,9.5
2.3,15,1,9.99
2.6,5,4,9.98
2.6,6,7,9.66
2.6,7,1,9.99
2.6,8,8,8.82
2.6,9,5,9.92
2.6,10,5,9.92
2.6,11,3,9.99
2.6,12,1,9.99
2.6,13,7,9.26
2.6,14,2,9.99
2.6,15,4,9.95
1.4,11,10,11
1.4,13,10,13
1.7,11,10,11
2.3,7,10,7
