Alpha,Final_Value,Turn_Left,Trial_earnings
1.4,5,3,9.69
1.4,6,1,9.91
1.4,10,4,8.98
1.4,11,2,9.62
1.4,12,7,5.9
1.4,13,1,9.81
1.4,14,8,3.1
1.4,15,1,9.79
1.7,6,2,9.94
1.7,8,6,9.08
1.7,9,3,9.82
1.7,10,2,9.91
1.7,11,2,9.9
1.7,14,2,9.87
1.7,15,6,8.27
2,11,2,9.97
2,12,2,9.96
2,13,2,9.96
2,14,2,9.96
2,15,2,9.96
2.3,13,5,9.8
2.3,15,3,9.96
2.6,14,8,7.93
1.4,7,10,7
1.4,8,10,8
1.4,9,10,9
1.7,5,10,5
1.7,7,10,7
1.7,12,10,12
1.7,13,10,13
2,5,10,5
2,6,10,6
2,7,10,7
2,8,10,8
2,9,10,9
2,10,10,10
2.3,5,10,5
2.3,6,10,6
2.3,7,10,7
2.3,8,10,8
2.3,9,10,9
2.3,10,10,10
2.3,11,10,11
2.3,12,10,12
2.3,14,10,14
2.6,5,10,5
2.6,6,10,6
2.6,7,10,7
2.6,8,10,8
2.6,9,10,9
2.6,10,10,10
2.6,11,10,11
2.6,12,10,12
2.6,13,10,13
2.6,15,10,15
