Alpha,Final_Value,Turn_Left,Trial_earnings
1.4,5,1,9.93
1.4,6,1,9.91
1.4,7,1,9.9
1.4,8,2,9.72
1.4,9,1,9.87
1.4,10,2,9.66
1.4,12,2,9.59
1.4,13,1,9.81
1.4,14,1,9.8
1.4,15,2,9.48
1.7,5,2,9.95
1.7,6,3,9.88
1.7,7,2,9.93
1.7,8,2,9.93
1.7,9,2,9.92
1.7,10,2,9.91
1.7,11,4,9.6
1.7,12,2,9.89
1.7,13,1,9.95
1.7,14,1,9.95
1.7,15,2,9.86
2,7,5,9.79
2,8,4,9.88
2,9,6,9.45
2,10,6,9.38
2,11,4,9.84
2,12,3,9.92
2,13,3,9.91
2,14,2,9.96
2,15,2,9.96
2.3,8,9,6.52
2.3,9,7,9.26
2.3,11,8,7.92
2.3,12,4,9.92
2.3,13,8,7.55
2.3,14,3,9.96
2.3,15,3,9.96
2.6,8,1,9.99
2.6,11,6,9.76
2.6,13,6,9.72
2.6,14,9,4.62
1.4,11,10,11
2,5,10,5
2,6,10,6
2.3,5,10,5
2.3,6,10,6
2.3,7,10,7
2.3,10,10,10
2.6,5,10,5
2.6,6,10,6
2.6,7,10,7
2.6,9,10,9
2.6,10,10,10
2.6,12,10,12
2.6,15,10,15
