Alpha,Final_Value,Turn_Left,Trial_earnings
1.4,5,2,9.83
1.4,7,1,9.9
1.4,8,1,9.89
1.4,9,1,9.87
1.4,10,2,9.66
1.4,11,2,9.62
1.4,12,1,9.83
1.4,13,1,9.81
1.4,14,1,9.8
1.4,15,2,9.48
1.7,6,2,9.94
1.7,8,2,9.93
1.7,9,1,9.97
1.7,10,2,9.91
1.7,11,2,9.9
1.7,12,2,9.89
1.7,13,2,9.88
1.7,14,2,9.87
1.7,15,2,9.86
2,6,2,9.98
2,7,3,9.95
2,8,3,9.95
2,9,2,9.97
2,10,2,9.97
2,11,2,9.97
2,12,2,9.96
2,13,2,9.96
2,14,2,9.96
2,15,2,9.96
2.3,8,6,9.72
2.3,13,7,8.93
2.3,15,5,9.77
1.4,6,10,6
1.7,5,10,5
1.7,7,10,7
2,5,10,5
2.3,5,10,5
2.3,6,10,6
2.3,7,10,7
2.3,9,10,9
2.3,10,10,10
2.3,11,10,11
2.3,12,10,12
2.3,14,10,14
2.6,5,10,5
2.6,6,10,6
2.6,7,10,7
2.6,8,10,8
2.6,9,10,9
2.6,10,10,10
2.6,11,10,11
2.6,12,10,12
2.6,13,10,13
2.6,14,10,14
2.6,15,10,15
