Alpha,Final_Value,Turn_Left,Trial_earnings
1.4,5,6,8.84
1.4,6,2,9.79
1.4,7,2,9.76
1.4,8,5,8.75
1.4,9,4,9.08
1.4,11,4,8.88
1.4,12,3,9.25
1.4,13,1,9.81
1.4,14,4,8.58
1.4,15,3,9.06
1.7,9,3,9.82
1.7,10,6,8.85
1.7,12,6,8.62
1.7,13,6,8.5
1.7,15,6,8.27
2,9,6,9.45
2,10,6,9.38
2,15,7,8.14
2.3,11,8,7.92
2.3,12,3,9.97
2.3,13,9,4.35
2.3,14,7,8.85
2.6,6,6,9.87
1.4,10,10,10
1.7,5,10,5
1.7,6,10,6
1.7,7,10,7
1.7,8,10,8
1.7,11,10,11
1.7,14,10,14
2,5,10,5
2,6,10,6
2,7,10,7
2,8,10,8
2,11,10,11
2,12,10,12
2,13,10,13
2,14,10,14
2.3,5,10,5
2.3,6,10,6
2.3,7,10,7
2.3,8,10,8
2.3,9,10,9
2.3,10,10,10
2.3,15,10,15
2.6,5,10,5
2.6,7,10,7
2.6,8,10,8
2.6,9,10,9
2.6,10,10,10
2.6,11,10,11
2.6,12,10,12
2.6,13,10,13
2.6,14,10,14
2.6,15,10,15
