Alpha,Final_Value,Turn_Left,Trial_earnings
1.4,6,1,9.91
1.4,7,7,7.95
1.4,8,2,9.72
1.4,9,1,9.87
1.4,10,4,8.98
1.4,11,10,11
1.4,12,2,9.59
1.4,13,1,9.81
1.4,14,3,9.13
1.4,15,1,9.79
1.7,5,3,9.9
1.7,6,3,9.88
1.7,7,3,9.86
1.7,8,1,9.98
1.7,9,1,9.97
1.7,10,2,9.91
1.7,11,1,9.96
1.7,12,1,9.96
1.7,13,3,9.75
1.7,15,4,9.45
2,6,3,9.96
2,7,3,9.95
2,8,3,9.95
2,9,1,9.99
2,10,4,9.85
2,11,6,9.32
2,12,6,9.26
2,13,8,6.76
2,14,8,6.51
2,15,6,9.08
2.3,5,7,9.59
2.3,6,7,9.51
2.3,8,8,8.49
2.3,12,1,9.99
2.3,13,8,7.55
2.6,5,7,9.72
2.6,6,1,9.99
2.6,7,6,9.85
2.6,8,8,8.82
2.6,9,1,9.99
2.6,10,7,9.43
2.6,11,2,9.99
2.6,12,9,5.39
2.6,13,1,9.99
1.4,5,10,5
1.7,14,10,14
2,5,10,5
2.3,7,10,7
2.3,9,10,9
2.3,10,10,10
2.3,11,10,11
2.3,14,10,14
2.3,15,10,15
2.6,14,10,14
2.6,15,10,15
