Alpha,Final_Value,Turn_Left,Trial_earnings
1.4,5,3,9.69
1.4,6,2,9.79
1.4,7,2,9.76
1.4,8,1,9.89
1.4,9,2,9.69
1.4,10,4,8.98
1.4,11,2,9.62
1.4,12,2,9.59
1.4,13,1,9.81
1.4,14,1,9.8
1.4,15,4,8.47
1.7,5,4,9.82
1.7,6,5,9.61
1.7,9,5,9.41
1.7,10,3,9.8
1.7,11,6,8.73
1.7,12,6,8.62
1.7,13,3,9.75
1.7,14,5,9.08
1.7,15,3,9.71
2,9,7,8.88
2,10,7,8.76
2,11,7,8.63
2,12,7,8.51
2,13,7,8.39
2,14,7,8.26
2.3,10,8,8.11
2.3,13,5,9.8
2.3,14,7,8.85
2.3,15,7,8.77
2.6,9,8,8.67
2.6,13,7,9.26
2.6,15,8,7.78
1.7,7,10,7
1.7,8,10,8
2,5,10,5
2,6,10,6
2,7,10,7
2,8,10,8
2,15,10,15
2.3,5,10,5
2.3,6,10,6
2.3,7,10,7
2.3,8,10,8
2.3,9,10,9
2.3,11,10,11
2.3,12,10,12
2.6,5,10,5
2.6,6,10,6
2.6,7,10,7
2.6,8,10,8
2.6,10,10,10
2.6,11,10,11
2.6,12,10,12
2.6,14,10,14
