Alpha,Final_Value,Turn_Left,Trial_earnings
1.4,5,6,8.84
1.4,6,2,9.79
1.4,7,1,9.9
1.4,8,1,9.89
1.4,9,1,9.87
1.4,10,3,9.38
1.4,11,10,11
1.4,12,1,9.83
1.4,13,1,9.81
1.4,14,5,7.81
1.4,15,1,9.79
1.7,6,3,9.88
1.7,7,1,9.98
1.7,9,1,9.97
1.7,10,8,6.57
1.7,11,1,9.96
1.7,12,1,9.96
1.7,13,1,9.95
1.7,14,1,9.95
1.7,15,1,9.95
2,5,1,9.99
2,6,1,9.99
2,7,1,9.99
2,8,1,9.99
2,9,1,9.99
2,11,1,9.99
2,12,7,8.51
2,13,2,9.96
2,14,1,9.99
2,15,1,9.99
2.3,5,7,9.59
2.3,7,1,9.99
2.3,8,8,8.49
2.3,9,1,9.99
2.3,10,7,9.18
2.3,11,8,7.92
2.3,12,1,9.99
2.3,13,7,8.93
2.3,14,1,9.99
2.3,15,1,9.99
2.6,6,1,9.99
2.6,7,1,9.99
2.6,8,1,9.99
2.6,9,9,6.54
2.6,10,2,9.99
2.6,11,1,9.99
2.6,13,1,9.99
2.6,14,1,9.99
2.6,15,1,9.99
1.7,5,10,5
1.7,8,10,8
2,10,10,10
2.3,6,10,6
2.6,5,10,5
2.6,12,10,12
